user_id,item_id,rating
A2MUGFV2TDQ47K,B001GVISJM,5.0
A2G7B7FKP2O2PU,B001EO5QW8,5.0
AQLL2R1PPR46X,B001EO5QW8,5.0
AY12DBB0U420B,B001REEG6C,5.0
A2YIO225BTKVPU,B001GVISJW,4.0
A1Z54EM24Y40LL,B001GVISJW,5.0
A1IU7S4HCK1XK0,B000NY8ODS,5.0
A19SDJ2TSSL8HI,B0040WAG7Q,3.0
A3OXRFCJI67IMN,B003SO503C,5.0
A2582KMXLK2P06,B000LKZK7C,5.0
A3OXHLG6DIBRW8,B002O3VHXU,5.0
A2TJG4N8LNJW23,B002O3VHXU,4.0
A25C2M3QF9G7OQ,B000UXA3L8,5.0
ALSAOZ1V546VT,B001ELL6O8,5.0
AMRMK86X3PKXD,B004X8TK8I,5.0
A2OEUROGZDTXUJ,B000G6RYNE,5.0
A22PUBSSNP54L,B000G6RYNE,5.0
AYB4ELCS5AM8P,B000G6RYNE,5.0
A2MUGFV2TDQ47K,B000G6RYNE,3.0
A3RMGIKUWGPZOK,B000G6RYNE,5.0
A3PJZ8TU8FDQ1K,B000G6RYNE,5.0
A3PJZ8TU8FDQ1K,B000G6RYNE,5.0
A31N6KB160O508,B000G6RYNE,4.0
A31N6KB160O508,B000G6RYNE,4.0
A31N6KB160O508,B000G6RYNE,4.0
A1B05INWIDZ74O,B000G6RYNE,3.0
A1B05INWIDZ74O,B000G6RYNE,5.0
A2OEUROGZDTXUJ,B000G6RYNE,4.0
A38KP1POQ191WT,B000G6RYNE,1.0
ACYR6O588USK,B000G6RYNE,5.0
AY1EF0GOH80EK,B000G6RYNE,5.0
A2A1XYSB692L6J,B000G6RYNE,5.0
A3RMGIKUWGPZOK,B000G6RYNE,3.0
A2TN9C5E4A0I3F,B000G6RYNE,1.0
AR7TAEEUDHMUB,B000G6RYNE,1.0
ADS5APY1NKTL4,B000G6RYNE,5.0
A3RMGIKUWGPZOK,B000G6RYNE,5.0
A3PJZ8TU8FDQ1K,B000G6RYNE,5.0
A1Q7A78VSQ5GQ4,B000G6RYNE,5.0
A2A8KWCE8RKB9T,B000G6RYNE,4.0
A2OEUROGZDTXUJ,B000G6RYNE,5.0
A2II09GQGWOMTQ,B000G6RYNE,5.0
AQQLWCMRNDFGI,B000G6RYNE,4.0
A24ZV048V7J0MT,B000G6RYNE,5.0
A3RMGIKUWGPZOK,B000G6RYNE,5.0
A3PJZ8TU8FDQ1K,B000G6RYNE,5.0
A3PJZ8TU8FDQ1K,B000G6RYNE,5.0
A2YKWYC3WQJX5J,B000G6RYNE,5.0
AKMEY1BSHSDG7,B000G6RYNE,5.0
ADS5APY1NKTL4,B000G6RYNE,5.0
A3M174IC0VXOS2,B000G6RYNE,5.0
A2OL5WLCNZVD9K,B000G6RYNE,3.0
AY1EF0GOH80EK,B001EPPCNK,4.0
A6GMEO3VRY51S,B002U56JXU,5.0
A1WX42M589VAMQ,B000G6MBX2,5.0
A1ZH9LWMX5UCFJ,B000G6MBX2,5.0
A2C9XE9I8RSKNX,B006JWQFC0,5.0
A2TN9C5E4A0I3F,B001FKQQDO,3.0
A36MP37DITBU6F,B0018DQFPC,4.0
A3BH49ZKESHDID,B0030C9A60,5.0
A3OXHLG6DIBRW8,B004ET7MG8,2.0
A1WX42M589VAMQ,B000VKYKTG,5.0
A2E3WMF9RWW2X2,B000HDMUQ2,5.0
A2W9I628I6SE1U,B001ELL9XG,4.0
A3NHUQ33CFH3VM,B000ER6YO0,3.0
A3NHUQ33CFH3VM,B000ER6YO0,4.0
A3NHUQ33CFH3VM,B000ER6YO0,3.0
A3NHUQ33CFH3VM,B000ER6YO0,3.0
A3MDETK0D5UAIN,B006GK4XVA,3.0
A1V1EP514B5H7Y,B001E6KBSK,5.0
A3HPCRD9RX351S,B0035Q0N0I,4.0
A2R6RA8FRBS608,B003UY9GTE,5.0
ACYR6O588USK,B0025ULYKI,5.0
A2GEZJHBV92EVR,B0025ULYKI,5.0
ADLVFFE4VBT8,B0028SWACS,3.0
A2OWR5G2OAQF7C,B001HTI226,5.0
A1YUL9PCJR3JTY,B000FAMUO4,5.0
A1HOXKR7OKJ1X1,B005151BV6,5.0
AYGJ96W5KQMUJ,B0013JQON4,5.0
A281NPSIMI1C2R,B00068PCTU,5.0
A2RL1RS6PWUHWI,B001E50UEQ,3.0
AAUICTIUBVU7R,B001E50UEQ,3.0
A3UCN2RGY7O6S1,B003UIDAHY,5.0
AZV26LP92E6WU,B0045TDE4Q,5.0
A2PNOU7NXB1JE4,B000E7WM0K,3.0
A1WOMXOEX90ARI,B000E7WM0U,4.0
A2MUGFV2TDQ47K,B001CWZXIY,5.0
A3PD8JD9L4WEII,B001RVFDOO,4.0
A2YMCPP3KW9IXU,B001RVFDOO,5.0
A1I85Y08VRZ32Q,B001RVFDOO,5.0
A132ETQPMHQ585,B001RVFDOO,2.0
A1F7YU6O5RU432,B001RVFDOO,3.0
A2RL1RS6PWUHWI,B001RVFDOO,2.0
AQLL2R1PPR46X,B001RVFDOO,5.0
A19123D9G66E0O,B001RVFDOO,3.0
A2PNOU7NXB1JE4,B000F4EU52,1.0
A36WGHR8TO5DKT,B000F4EU52,5.0
A3OXRFCJI67IMN,B003FA0M1O,5.0
A35W3JQYP0M655,B001E5E29A,5.0
A3MDETK0D5UAIN,B000EPP56U,5.0
AY12DBB0U420B,B008YAXFWI,4.0
A2D1LPEUCTNT8X,B000LRKO9E,5.0
A3NHUQ33CFH3VM,B000ARTNR4,2.0
A1K82R24ROO2I7,B000E1HVF2,5.0
A383XURHVF8ON6,B0002Z9BF8,5.0
A29JUMRL1US6YP,B0002Z9BF8,5.0
A2XNJJ9TF70P4J,B00196U7OI,4.0
AQQLWCMRNDFGI,B0089SPDUW,5.0
A3AZI828WJN1CD,B0089SPDUW,5.0
A26NFIQ7KWI8Y7,B0089SPDUW,4.0
A2TJG4N8LNJW23,B0089SPDUW,4.0
A35X2JJI49OBZP,B002JX7GVM,5.0
A2R6RA8FRBS608,B0004MZVIA,5.0
A36MP37DITBU6F,B000G7UDPY,5.0
A2PNOU7NXB1JE4,B000G7UDPY,3.0
A1IU7S4HCK1XK0,B000ED9LDU,5.0
AXO4PQU0XG3TG,B000ED9LDU,4.0
A281NPSIMI1C2R,B0016FY6H6,5.0
A1ONZ8JRPLBNUI,B0016FY6H6,2.0
AAUICTIUBVU7R,B003NDA970,5.0
AVFA1JB08RG8G,B000J2DQ46,5.0
A2XNJJ9TF70P4J,B000J2DQ46,3.0
AKZKG2Z7CNV27,B000MBO4LI,2.0
AR7TAEEUDHMUB,B0085G4ACA,5.0
A2YHXAZLCLDT8D,B0085G4ACA,5.0
A26NFIQ7KWI8Y7,B007OXJLM4,4.0
A3M8R4JD1SIS76,B000F9Z1WI,5.0
A2R6RA8FRBS608,B000F9Z1WI,5.0
A2YB7DLC3FOR7W,B000F9Z1WI,5.0
A3DOPYDOS49I3T,B000F9Z1WI,4.0
A26HFSVLAGULIM,B000F9Z1WI,4.0
A3M174IC0VXOS2,B000F9Z1WI,5.0
A2VUD4SPJO4V33,B0002TJAZK,1.0
A3TVZM3ZIXG8YW,B0002TJAZK,1.0
A3TVZM3ZIXG8YW,B0002TJAZK,1.0
A3RR2P5IS3DGPR,B000LKU03G,4.0
A1YUL9PCJR3JTY,B0011X5S8Y,4.0
A2W9I628I6SE1U,B000VDNGIO,4.0
AY12DBB0U420B,B0025UALB6,4.0
AJD41FBJD9010,B0025UALB6,5.0
A2OL5WLCNZVD9K,B000B9SFP2,5.0
A2R6RA8FRBS608,B0052OI128,5.0
AMRMK86X3PKXD,B004NNFEA6,5.0
A1GYEGLX3P2Y7P,B0000E65W9,5.0
A2C9XE9I8RSKNX,B001IZIC7E,5.0
A2MSQNPTNAAGL1,B004JQVASM,4.0
A31N6KB160O508,B000FDKQCY,5.0
AR7TAEEUDHMUB,B003OZYUEA,5.0
AKJHHD5VEH7VG,B005K4Q1VI,3.0
A3OXHLG6DIBRW8,B005K4Q1VI,5.0
A3OXHLG6DIBRW8,B005K4Q1VI,5.0
A35R32TA60XD57,B005K4Q1VI,1.0
A2YHXAZLCLDT8D,B005K4Q1VI,5.0
AY12DBB0U420B,B005TY2REE,4.0
ABDCYK04CL6O4,B000YPKODY,3.0
AZV26LP92E6WU,B00469LSMU,5.0
A3F3B1JPACN215,B000GDAVXW,4.0
A6KL17KKN0A5L,B0040PWYVO,5.0
AAUICTIUBVU7R,B0014DZQMO,5.0
A1HOXKR7OKJ1X1,B0044UT0O4,5.0
ABDCYK04CL6O4,B004X8TK9W,5.0
A1Z54EM24Y40LL,B004X8TK9W,5.0
AXO4PQU0XG3TG,B000CS9ZTC,2.0
AZV26LP92E6WU,B000G33MVK,5.0
A13WOT3RSXKRD5,B00016UX0K,5.0
A1ZPY91VE3IDN1,B000X2CWTM,5.0
AY12DBB0U420B,B000X2CWTM,5.0
A2MSQNPTNAAGL1,B000X2CWTM,3.0
A2YMCPP3KW9IXU,B003159ETE,5.0
A26A64X86VL1R4,B000F9BCQ2,4.0
A3OXHLG6DIBRW8,B000VSDFRG,5.0
A26HFSVLAGULIM,B0005ZHWXI,2.0
A31N6KB160O508,B00110FN28,5.0
A3NEAETOSXDBOM,B00110FN28,5.0
A250AXLRBVYKB4,B00110FN28,5.0
A29313797NGT9L,B000UZVPKO,4.0
A33AQPJYH7UUXR,B004391DK0,4.0
A1YJMG0QJXZLD4,B004391DK0,5.0
A3F3B1JPACN215,B0001217OA,5.0
A1GQAKL9CGQLP1,B003SWCZG4,5.0
AKMEY1BSHSDG7,B000E5AO8O,5.0
A281NPSIMI1C2R,B002TMV3E4,5.0
ALSAOZ1V546VT,B002TMV3E4,5.0
A1UQBFCERIP7VJ,B002TMV3E4,4.0
A6KL17KKN0A5L,B002TMV3E4,3.0
A1AEPMPA12GUJ7,B002TMV3E4,4.0
A1H7Y5XKPGT0OS,B002TMV3E4,3.0
A1X2LENOF84LCQ,B002TMV3E4,3.0
AK8LOFYRZJJW0,B002TMV3E4,3.0
A25C2M3QF9G7OQ,B002TMV3E4,5.0
A2FRFAQCWZJT3Q,B002TMV3E4,5.0
A2OWR5G2OAQF7C,B002TMV3E4,4.0
AF3BYMPWKWO8F,B002TMV3E4,2.0
AMRMK86X3PKXD,B000FBM4FI,5.0
A132ETQPMHQ585,B00139TT72,2.0
A3MZNRSDQ32UUH,B00139TT72,5.0
A2MUGFV2TDQ47K,B00139TT72,5.0
AR7TAEEUDHMUB,B002FVQX3A,5.0
A1GQAKL9CGQLP1,B007HDSPVO,5.0
AKZKG2Z7CNV27,B000QSONJA,1.0
A1TMAVN4CEM8U8,B000FYYOZI,3.0
A1TMAVN4CEM8U8,B000FYYOZI,5.0
A1K82R24ROO2I7,B001EO5ZDI,5.0
A1Z4LX3Q1YMF84,B002Z9NKUG,2.0
A1Z54EM24Y40LL,B000FA398U,5.0
A36WGHR8TO5DKT,B000E3ZFIK,4.0
A3D6OI36USYOU1,B001EO5ZFQ,1.0
A1HOXKR7OKJ1X1,B0073FG1H6,4.0
A3BH49ZKESHDID,B0031YJ38W,5.0
AY1EF0GOH80EK,B0031YJ38W,3.0
A2YSFKX18XTHED,B000G1X456,3.0
A35W3JQYP0M655,B0009OMU00,3.0
A7EK88GF8N40F,B004LQT0JG,2.0
A2XNOB1T796Y6B,B004565GV8,4.0
AJB5P7GVR0MT8,B004565GV8,1.0
A3LWC833HQIG7J,B00622CYVS,4.0
A2KIVODZRTGY4U,B00622CYVS,5.0
A2YHXAZLCLDT8D,B00622CYVS,5.0
A2YHXAZLCLDT8D,B00622CYVI,5.0
A1HRYC60VTMYC0,B006DO8R84,3.0
A2XNOB1T796Y6B,B00444ZAQM,4.0
A2FRFAQCWZJT3Q,B000G1X45G,5.0
A1WX42M589VAMQ,B000EUJLHE,5.0
AQ6AGWKWMTY8H,B000H23YC2,5.0
AJQDIT55SZ3ZX,B00434J6YK,5.0
A1ZSF5CJ0A4CIO,B0012OTH8O,5.0
A35R32TA60XD57,B002ANCCK6,5.0
A1ZH9LWMX5UCFJ,B000FPWTHW,5.0
A2A8KWCE8RKB9T,B001EQ5EJQ,5.0
A1LFSTBR7L7PUT,B003KLSZGW,5.0
A3NHUQ33CFH3VM,B001O2IX8E,3.0
A3LWC833HQIG7J,B001O2IX8E,5.0
A3NHUQ33CFH3VM,B001O2IX8E,4.0
A3LWC833HQIG7J,B001O2IX8E,4.0
A35R32TA60XD57,B003SE52K8,5.0
AJCK6OKNWGIYG,B000H227BG,5.0
A250AXLRBVYKB4,B000H227BG,5.0
A3OXHLG6DIBRW8,B007J6GGII,4.0
A1W415JP5WEAJK,B007J6GGII,4.0
A1XQMQMF07QZQS,B002RJD2XY,5.0
A2R6RA8FRBS608,B000UOFW9K,5.0
A26A64X86VL1R4,B000E65OF6,5.0
A1YJMG0QJXZLD4,B000E65OF6,4.0
A281NPSIMI1C2R,B000E65OF6,5.0
A1ZH9LWMX5UCFJ,B000KOSDY6,5.0
A1GYEGLX3P2Y7P,B002SVAYGY,5.0
A2R6RA8FRBS608,B000084EKW,5.0
